"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Oscar Hernandez","Diamondbacks","30","128","120","27","5","1","3","12","13","5","27","1","2","2",".224",".261",".351",".611",".270","0.0","-0.4","0.1","sa546558"
"Chris Stewart","Pirates","46","192","173","40","7","0","1","16","15","13","28","3","2","1",".235",".295",".301",".596",".269","0.3","-0.2","0.4","3878"
"Brett Hayes"," ","30","128","121","26","6","0","4","12","12","5","36","1","1","0",".213",".248",".363",".611",".268","-0.9","0.0","0.1","4293"
"Sandy Leon","Nationals","15","64","58","12","3","0","1","6","5","5","13","0","0","0",".215",".281",".313",".594",".267","0.7","0.0","0.2","5273"
"Nevin Ashley","Brewers","8","32","29","6","1","0","0","3","3","2","7","0","0","0",".212",".278",".312",".590",".267","0.1","0.0","0.0","sa326761"
"Rob Brantly","White Sox","12","51","48","11","2","0","1","5","4","3","9","0","0","0",".231",".274",".323",".597",".266","-0.1","-0.1","0.1","10655"
"Juan Centeno","Mets","15","64","59","14","2","0","0","5","5","3","10","0","0","0",".244",".286",".305",".591",".265","0.2","-0.1","0.1","7168"
"Cameron Rupp","Phillies","30","128","118","24","5","0","3","11","12","8","40","1","0","0",".206",".261",".327",".589",".264","0.2","-0.1","0.2","11146"
"Tony Cruz","Cardinals","53","222","205","46","10","1","2","18","23","12","42","1","1","2",".225",".272",".316",".589",".262","-0.8","-0.8","0.0","2802"
"Roberto Perez","Indians","30","128","112","22","5","0","2","12","10","12","36","1","1","0",".196",".278",".296",".573",".261","0.6","-0.1","0.3","2900"
"Tuffy Gosewisch","Diamondbacks","91","384","362","80","19","1","6","29","32","14","72","3","2","2",".220",".253",".331",".584",".259","1.5","-0.4","0.2","5277"
"Wil Nieves","Padres","23","96","91","22","4","0","1","7","7","3","21","1","1","0",".237",".266",".315",".581",".258","0.0","0.0","0.1","1556"
"Tony Wolters","Indians","8","32","29","6","1","0","0","3","2","2","7","0","0","0",".220",".273",".290",".563",".254","0.2","-0.1","0.0","sa548197"
"Justin O'Conner","Rays","3","13","12","3","1","0","0","1","1","0","4","0","0","0",".208",".242",".328",".570",".253","0.1","0.0","0.0","sa548314"
"Bobby Wilson","Rays","23","96","87","18","3","0","1","8","7","6","18","0","0","0",".211",".265",".296",".560",".252","1.0","-0.2","0.2","6564"
"Jeff Mathis","Marlins","23","96","87","17","4","0","2","7","8","6","30","0","0","0",".198",".256",".301",".556",".248","0.6","-0.1","0.0","3448"
"Jackson Williams","Angels","8","32","29","6","1","0","0","3","3","2","8","0","0","0",".202",".257",".294",".550",".248","0.0","0.0","0.0","8524"
"Jesus Sucre","Mariners","30","128","121","28","4","0","1","11","10","4","21","1","1","1",".227",".254",".291",".545",".244","1.2","-0.1","0.1","5942"
"Drew Butera","Angels","30","128","117","23","5","1","2","10","10","7","29","1","0","0",".197",".250",".285",".536",".242","0.5","-0.1","0.1","3411"
"John Baker","Mariners","8","32","29","5","1","0","0","2","2","3","9","0","0","0",".188",".260",".242",".502",".229","-0.3","0.0","-0.1","4756"
"Ryan Lavarnway","Red Sox","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","8879"
"Mike Ohlman","Orioles","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","sa501614"
