"","X","Name","position","AB","R","HR","RBI","SB","AVG","adjusted_points","dollar_value"
"195",737,"Kurt Suzuki","catcher",361,39,6,38,1,0.255,1.7,7.58
"196",762,"Kendrys Morales","dh",479,59,16,66,1,0.263,1.7,7.58
"197",863,"Colby Rasmus","outfield",425,52,18,56,3,0.233,1.7,7.57
"198",128,"Mark Teixeira","first_base",472,63,23,69,2,0.223,1.68,7.5
"199",102,"Joe Panik","second_base",547,56,5,47,5,0.255,1.59,7.21
"200",858,"DJ LeMahieu","second_base",488,51,5,47,14,0.279,1.56,7.1
"201",247,"David Peralta","outfield",427,48,10,49,6,0.27,1.55,7.09
"202",524,"Juan Lagares","outfield",543,53,8,49,12,0.249,1.49,6.88
"203",787,"Khris Davis","outfield",376,48,18,54,4,0.247,1.45,6.74
"204",490,"B.J. Upton","outfield",493,56,15,51,17,0.215,1.44,6.72
"205",61,"Josh Rutledge","second_base",493,56,9,50,9,0.241,1.43,6.68
"206",547,"Jarrod Saltalamacchia","catcher",378,41,13,45,2,0.22,1.39,6.56
"207",315,"Gregor Blanco","outfield",484,54,5,43,17,0.249,1.37,6.49
"208",57,"Kevin Kiermaier","outfield",446,52,9,48,13,0.248,1.34,6.4
"209",778,"Conor Gillaspie","third_base",441,51,11,52,2,0.252,1.32,6.33
"210",399,"Emilio Bonifacio","outfield",472,55,4,39,29,0.245,1.3,6.25
"211",727,"Everth Cabrera","shortstop",495,60,5,38,30,0.25,1.27,6.15
"212",585,"Casey McGehee","third_base",500,52,8,54,3,0.252,1.2,5.93
"213",560,"Wilmer Flores","third_base",477,49,15,56,2,0.248,1.17,5.82
"214",480,"Ender Inciarte","outfield",467,52,5,35,19,0.254,1.16,5.78
"215",385,"Chris Young","outfield",407,52,15,51,10,0.228,1.15,5.75
"216",614,"Jordy Mercer","shortstop",514,55,11,56,5,0.255,1.08,5.53
"217",844,"Christian Vazquez","catcher",314,38,5,34,3,0.248,1.07,5.5
"218",753,"Ike Davis","first_base",430,60,17,59,3,0.239,1.05,5.45
"219",50,"Andrelton Simmons","shortstop",534,55,11,53,7,0.254,1.04,5.39
"220",334,"Alberto Callaspo","third_base",507,51,9,51,3,0.25,1.01,5.31
"221",364,"Rene Rivera","catcher",366,39,9,41,1,0.231,0.99,5.24
"222",283,"Yonder Alonso","first_base",488,56,14,60,7,0.265,0.99,5.23
"223",115,"Kevin Pillar","outfield",399,47,8,47,14,0.266,0.94,5.06
"224",369,"Rajai Davis","outfield",377,48,6,38,28,0.265,0.88,4.89
"225",17,"Jose Iglesias","third_base",465,51,5,45,12,0.257,0.87,4.83
"226",68,"Jonathan Schoop","second_base",466,52,15,53,5,0.226,0.58,3.91
"227",691,"Lonnie Chisenhall","third_base",358,44,12,47,2,0.262,0.36,3.17
"228",484,"Asdrubal Cabrera","shortstop",444,54,11,51,7,0.243,0.34,3.1
"229",798,"Danny Espinosa","second_base",514,53,13,54,9,0.219,0.27,2.87
"230",2,"Christian Bethancourt","catcher",407,34,9,41,6,0.238,0.21,2.7
"231",736,"Sam Fuld","outfield",452,52,5,42,18,0.232,0.19,2.63
"232",568,"Jean Segura","shortstop",474,51,8,46,21,0.262,0.18,2.59
"233",148,"Jacob Lamb","third_base",420,45,12,49,3,0.25,0.05,2.16
"234",258,"Grady Sizemore","outfield",447,47,10,45,7,0.239,-0.02,1.93
"235",319,"Dioner Navarro","catcher",235,28,7,30,1,0.263,-0.22,1.29
"236",245,"Ryan Doumit","catcher",294,32,9,35,2,0.237,-0.26,1.14
"237",317,"Domonic Brown","outfield",364,41,13,46,5,0.255,-0.28,1.08
"238",437,"Juan Uribe","third_base",427,43,11,50,2,0.253,-0.37,0.8
"239",326,"Brayan Pena","catcher",325,30,5,32,3,0.25,-0.58,0.11
"240",125,"Alex Rodriguez","third_base",362,45,12,45,5,0.235,-0.61,0.01
"241",520,"Brandon Crawford","shortstop",529,52,9,53,5,0.234,-0.72,-0.35
"242",782,"Justin Smoak","first_base",387,52,16,54,1,0.24,-0.75,-0.46
"243",127,"Dalton Pompey","outfield",396,46,7,42,21,0.235,-0.75,-0.46
"244",647,"J.P. Arencibia","catcher",314,33,13,40,1,0.209,-0.82,-0.69
"245",511,"Francisco Cervelli","catcher",298,30,4,29,3,0.246,-0.87,-0.84
"246",441,"Nick Swisher","first_base",415,53,14,50,1,0.234,-1.02,-1.35
"247",126,"Brad Miller","shortstop",376,47,10,42,7,0.248,-1.07,-1.52
"248",788,"Tyler Flowers","catcher",294,33,11,35,2,0.208,-1.09,-1.57
"249",150,"Jose Ramirez","shortstop",426,48,5,40,20,0.252,-1.25,-2.08
"250",532,"Daniel Nava","outfield",285,38,6,33,3,0.265,-1.28,-2.2
"251",291,"Zack Cozart","shortstop",500,48,9,48,4,0.24,-1.32,-2.33
"252",621,"Freddy Galvis","third_base",484,44,11,48,5,0.226,-1.33,-2.36
"253",708,"Eric Sogard","second_base",396,44,4,37,13,0.25,-1.34,-2.39
"254",56,"Ichiro Suzuki","outfield",381,38,4,34,12,0.267,-1.42,-2.66
"255",312,"Mitch Moreland","first_base",384,48,15,51,2,0.244,-1.55,-3.09
"256",77,"Michael Choice","outfield",310,39,10,38,3,0.243,-1.58,-3.17
"257",211,"Rickie Weeks","second_base",331,42,10,38,6,0.238,-1.62,-3.32
"258",613,"Andy Dirks","outfield",314,37,8,35,5,0.257,-1.63,-3.32
"259",368,"Geovany Soto","catcher",272,28,9,32,2,0.224,-1.7,-3.57
"260",34,"Adeiny Hechavarria","shortstop",549,47,4,48,9,0.248,-1.75,-3.74
"261",696,"Justin Ruggiano","outfield",315,38,10,37,7,0.239,-1.97,-4.46
"262",493,"Anthony Gose","outfield",347,41,5,34,20,0.236,-2.02,-4.61
"263",562,"John Jaso","catcher",181,24,4,20,2,0.249,-2.04,-4.67
"264",103,"Cody Asche","third_base",327,35,11,39,3,0.254,-2.06,-4.73
"265",506,"Justin Turner","third_base",327,36,5,34,4,0.264,-2.08,-4.81
"266",72,"Jake Marisnick","outfield",366,39,9,39,13,0.234,-2.09,-4.83
