"","Name","position","playerid","IP","ERA","WHIP","SV","W","K","adjusted_points","dollar_value"
"484","Jairo Diaz","pitcher","12774",25,4.46,1.43,1,1,22,-4,-11.26
"432","Gavin Floyd","pitcher","3886",28,4.34,1.35,0,1,22,-4,-11.26
"318","Ryan Pressly","pitcher","7005",30,4.2,1.38,0,1,22,-4,-11.27
"459","Eury De la Rosa","pitcher","4055",25,4.03,1.39,0,1,21,-4.01,-11.31
"454","Eric Stults","pitcher","8011",28,4.35,1.32,0,1,19,-4.02,-11.32
"595","Tim Berry","pitcher","sa503777",38,4.94,1.44,0,2,25,-4.02,-11.32
"324","Matt Barnes","pitcher","12863",20,3.93,1.32,0,1,17,-4.03,-11.34
"371","Ian Krol","pitcher","10066",20,4.15,1.32,0,1,18,-4.04,-11.39
"283","Luis Garcia","pitcher","6984",20,3.93,1.38,0,1,19,-4.05,-11.41
"335","Keith Butler","pitcher","10080",20,3.89,1.35,0,1,17,-4.05,-11.41
"282","Sean Marshall","pitcher","5905",15,3.53,1.29,0,1,14,-4.06,-11.43
"179","Mike Bolsinger","pitcher","11137",15,3.61,1.28,0,1,14,-4.06,-11.43
"390","Rob Rasmussen","pitcher","11250",20,3.94,1.37,0,1,18,-4.06,-11.44
"199","Phil Coke","pitcher","5535",20,3.92,1.36,0,1,17,-4.07,-11.46
"376","Cesar Ramos","pitcher","3357",20,4.02,1.33,0,1,16,-4.07,-11.47
"230","Arquimedes Caminero","pitcher","8992",15,3.64,1.32,0,1,15,-4.07,-11.48
"231","Arquimedes Caminero","pitcher","8992",15,3.64,1.32,0,1,15,-4.07,-11.48
"327","Ryan Webb","pitcher","7474",20,3.93,1.31,0,1,14,-4.08,-11.49
"225","James Hoyt","pitcher","sa659944",15,3.73,1.31,0,1,15,-4.08,-11.49
"280","Taylor Jordan","pitcher","10466",19,3.88,1.29,0,1,13,-4.08,-11.49
"348","Casey Sadler","pitcher","11209",20,4.05,1.29,0,1,13,-4.1,-11.54
"125","David Hernandez","pitcher","4259",10,3.19,1.19,0,1,11,-4.1,-11.56
"246","Drew Rucinski","pitcher","12499",15,3.81,1.26,0,1,12,-4.11,-11.58
"500","Pedro Villarreal","pitcher","9904",20,4.25,1.31,0,1,15,-4.11,-11.58
"326","Lisalverto Bonilla","pitcher","11266",15,3.97,1.33,0,1,15,-4.12,-11.62
"87","Kevin Munson","pitcher","sa526289",10,3.3,1.21,0,1,11,-4.12,-11.62
"412","Lucas Luetge","pitcher","8337",20,4.12,1.39,0,1,17,-4.13,-11.64
"447","Taylor Hill","pitcher","12515",20,4.16,1.29,0,1,12,-4.13,-11.65
"345","Brett Bochy","pitcher","11867",15,3.79,1.33,0,1,13,-4.14,-11.66
"289","Leonel Campos","pitcher","12277",15,3.9,1.42,0,1,17,-4.14,-11.67
"305","Shawn Armstrong","pitcher","sa598951",15,4.05,1.37,0,1,16,-4.14,-11.67
"509","Alex Wilson","pitcher","9239",25,4.34,1.41,0,1,19,-4.15,-11.68
"505","Eric Surkamp","pitcher","2540",20,4.4,1.36,0,1,17,-4.15,-11.68
"426","Gonzalez Germen","pitcher","5876",15,4.02,1.33,0,1,14,-4.15,-11.69
"72","Cody Hall","pitcher","sa550010",10,3.3,1.23,0,1,10,-4.15,-11.7
"475","Kevin Chapman","pitcher","11240",25,4.32,1.52,0,1,25,-4.16,-11.73
"437","Brian Flynn","pitcher","12027",20,4.12,1.37,0,1,14,-4.17,-11.75
"98","Nate Jones","pitcher","4696",10,3.55,1.27,0,1,11,-4.18,-11.76
"417","Mike Kickham","pitcher","11618",19,4.25,1.41,0,1,16,-4.19,-11.82
"330","Matt Grace","pitcher","sa526941",15,3.8,1.35,0,1,11,-4.2,-11.82
"545","Steven Wright","pitcher","8185",30,4.51,1.45,0,1,21,-4.21,-11.85
"511","Joe Saunders","pitcher","4366",25,4.48,1.39,0,1,16,-4.21,-11.86
"396","Brooks Brown","pitcher","5679",15,4.16,1.34,0,1,12,-4.21,-11.87
