"","Name","position","AB","R","HR","RBI","SB","AVG","adjusted_points","dollar_value"
"495","Alexei Ramirez","shortstop",595,67,11,63,17,0.265,4.12,15.48
"507","Brett Lawrie","third_base",463,59,16,60,6,0.263,4.1,15.44
"4","Wil Myers","outfield",493,60,18,62,8,0.247,4.05,15.26
"673","Billy Butler","dh",531,68,15,71,1,0.274,4.02,15.17
"76","Yasmani Grandal","catcher",386,48,13,51,2,0.241,3.83,14.54
"402","Erick Aybar","shortstop",575,66,8,59,15,0.271,3.83,14.53
"786","Lorenzo Cain","outfield",537,60,8,55,21,0.267,3.8,14.43
"146","Mike Zunino","catcher",412,49,19,55,3,0.219,3.76,14.32
"439","Starlin Castro","shortstop",530,63,12,60,8,0.274,3.76,14.31
"100","Joc Pederson","outfield",499,62,20,64,19,0.225,3.75,14.26
"134","Javier Baez","second_base",473,63,23,58,12,0.221,3.65,13.95
"564","Carlos Beltran","outfield",414,56,17,58,3,0.26,3.64,13.92
"377","J.J. Hardy","shortstop",570,64,17,65,2,0.253,3.62,13.85
"109","Maikel Franco","third_base",542,59,19,63,3,0.244,3.61,13.82
"280","Lucas Duda","first_base",534,69,24,75,3,0.234,3.58,13.7
"795","Logan Morrison","first_base",514,67,20,70,5,0.254,3.57,13.68
"104","Carl Crawford","outfield",461,56,11,51,19,0.273,3.53,13.56
"766","Jason Castro","catcher",416,49,12,50,2,0.23,3.45,13.31
"48","Jedd Gyorko","second_base",524,60,19,66,4,0.24,3.38,13.07
"461","Curtis Granderson","outfield",465,61,19,56,6,0.222,3.28,12.75
"486","Luis Valbuena","third_base",499,61,14,58,3,0.239,3.26,12.67
"872","Michael Saunders","outfield",419,58,14,54,10,0.248,3.21,12.51
"24","Danny Santana","outfield",484,59,7,42,18,0.261,3.21,12.49
"505","Jon Jay","outfield",475,56,6,47,8,0.278,3.19,12.43
"91","Nick Castellanos","third_base",487,56,13,59,4,0.264,3.16,12.34
"802","A.J. Pollock","outfield",497,57,10,51,16,0.262,3.15,12.33
"807","Drew Stubbs","outfield",409,56,13,50,17,0.259,3.14,12.3
"473","Mike Moustakas","third_base",478,57,17,61,3,0.248,3.13,12.23
"191","Shane Victorino","outfield",395,56,10,48,11,0.266,3.11,12.19
"825","David Freese","third_base",478,57,12,57,3,0.26,3.09,12.11
"28","Scooter Gennett","second_base",512,57,10,52,8,0.27,3.03,11.92
"683","Trevor Plouffe","third_base",462,57,16,60,2,0.248,3.01,11.86
"718","Adam Lind","first_base",470,61,19,68,1,0.272,2.94,11.63
"241","Alex Rios","outfield",492,55,10,58,17,0.265,2.85,11.34
"151","Mookie Betts","outfield",345,52,8,41,16,0.284,2.81,11.2
"822","Marlon Byrd","outfield",507,55,17,63,3,0.245,2.77,11.06
"44","Arismendy Alcantara","outfield",514,58,14,55,19,0.237,2.73,10.93
"414","Howie Kendrick","second_base",507,55,9,58,8,0.275,2.7,10.85
"555","Steven Souza","outfield",415,55,16,55,19,0.246,2.7,10.83
"337","Miguel Montero","catcher",361,43,9,43,2,0.249,2.65,10.67
"316","Robinson Chirinos","catcher",384,44,12,46,2,0.236,2.63,10.62
"429","Jed Lowrie","shortstop",502,61,12,58,1,0.258,2.62,10.59
"288","Carlos Ruiz","catcher",386,41,8,41,4,0.26,2.58,10.46
"477","Matt Dominguez","third_base",519,57,18,63,1,0.23,2.45,10.02
"201","Jhonny Peralta","shortstop",514,59,15,64,3,0.256,2.44,9.99
"638","Chris Coghlan","outfield",460,57,8,44,10,0.25,2.4,9.87
"335","Matt Joyce","outfield",422,56,13,53,5,0.241,2.36,9.71
"740","Chris Iannetta","catcher",347,46,10,40,3,0.224,2.31,9.58
"185","Omar Infante","second_base",483,54,7,49,7,0.273,2.17,9.11
"635","Derek Norris","catcher",353,42,12,42,3,0.235,2.16,9.06
"117","Kolten Wong","second_base",476,55,11,51,17,0.257,2.14,9
"669","Seth Smith","outfield",403,54,11,50,2,0.249,2.05,8.7
"658","David Lough","outfield",477,54,9,50,14,0.254,2.04,8.68
"438","James Loney","first_base",548,61,11,63,3,0.271,1.99,8.53
"684","Alex Avila","catcher",334,43,10,40,2,0.23,1.93,8.31
"707","Brandon Phillips","second_base",495,53,12,55,4,0.259,1.91,8.24
"814","Matt Adams","first_base",472,57,19,69,3,0.268,1.9,8.22
